Oncorhynchus keta	118372479
Oncorhynchus keta	118372477
Spodoptera frugiperda	118275219
Spodoptera frugiperda	118262108
Stegodyphus dumicola	118200746
Stegodyphus dumicola	118179900
Chelonus insularis	118070950
Maniola hyperantus	117985268
Vitis riparia	117925431
Drosophila subobscura	117896258
Setaria viridis	117841445
Drosophila innubila	117792386
Osmia lignaria	117610800
Drosophila guanche	117585247
Drosophila albomicans	117574587
Acipenser ruthenus	117429512
Pecten maximus	117333006
Bombus bifarius	117208186
Bombus vancouverensis nearcticus	117154003
Drosophila mauritiana	117143698
Anneissia japonica	117112554
Daphnia magna	116930941
Daphnia magna	116916056
Odontomachus brunneus	116846779
Danaus plexippus plexippus	116777840
Contarinia nasturtii	116350638
Actinia tenebrosa	116301348
Papio anubis	116274958
Nymphaea colorata	116246708
Ipomoea triloba	116025677
Quercus lobata	115969649
Sitophilus oryzae	115875945
Drosophila novamexicana	115763861
Rhodamnia argentea	115754237
Rhodamnia argentea	115732698
Cannabis sativa	115723559
Cannabis sativa	115723558
Syzygium oleosum	115689908
Syzygium oleosum	115679315
Syzygium oleosum	115664945
Scaptodrosophila lebanonensis	115623521
Manduca sexta	115452565
Manduca sexta	115441345
Formica exsecta	115243619
Acropora millepora	114957674
Acropora millepora	114955897
Nylanderia fulva	114935601
Nylanderia fulva	114934500
Nylanderia fulva	114934430
Osmia bicornis bicornis	114879460
Malus domestica	114822058
Prosopis alba	114730769
Dendronephthya gigantea	114521425
Ostrinia furnacalis	114364206
Diabrotica virgifera virgifera	114328449
Vigna unguiculata	114176277
Aphis gossypii	114122453
Penaeus vannamei	113800031
Dermatophagoides pteronyssinus	113792050
Dermatophagoides pteronyssinus	113788639
Coffea eugenioides	113762332
Coffea arabica	113732440
Coffea arabica	113727213
Coffea arabica	113727207
Pocillopora damicornis	113667416
Rhopalosiphum maidis	113556770
Galleria mellonella	113514995
Vanessa tameamea	113404652
Ctenocephalides felis	113381260
Ctenocephalides felis	113363510
Papaver somniferum	113354111
Papaver somniferum	113353474
Hyposmocoma kahamanoa	113225984
Panicum hallii	112899678
Arachis hypogaea	112723587
Arachis hypogaea	112697801
Sipha flava	112686833
Theropithecus gelada	112618892
Theropithecus gelada	112618868
Melanaphis sacchari	112597083
Gallus gallus	112533603
Cynara cardunculus subsp. cardunculus	112505776
Temnothorax curvispinosus	112467182
Temnothorax curvispinosus	112463696
Temnothorax curvispinosus	112462937
Temnothorax curvispinosus	112462499
Temnothorax curvispinosus	112462004
Temnothorax curvispinosus	112461997
Temnothorax curvispinosus	112461267
Temnothorax curvispinosus	112461252
Temnothorax curvispinosus	112456173
Physcomitrium patens	112289312
Rosa chinensis	112196236
Rosa chinensis	112185521
Physeter catodon	112063020
Quercus suber	112002448
Eurytemora affinis	111715372
Lucilia cuprina	111690224
Lucilia cuprina	111681797
Seriola lalandi dorsalis	111655981
Drosophila hydei	111597161
Zea mays	111591088
Cucurbita maxima	111472549
Onthophagus taurus	111419058
Onthophagus taurus	111416971
Olea europaea var. sylvestris	111401749
Spodoptera litura	111360402
Stylophora pistillata	111335451
Crassostrea virginica	111135974
Drosophila obscura	111068952
Drosophila obscura	111065793
Myzus persicae	111041148
Acanthaster planci	110980735
Carica papaya	110811122
Spinacia oleracea	110796802
Prunus avium	110758326
Chenopodium quinoa	110692288
Chenopodium quinoa	110690869
Helicoverpa armigera	110370813
Drosophila serrata	110191088
Asparagus officinalis	109845066
Asparagus officinalis	109841393
Ananas comosus	109712230
Aethina tumida	109598453
Branchiostoma belcheri	109483093
Aedes albopictus	109403285
Ipomoea nil	109191610
Juglans regia	109022165
Bactrocera latifrons	108974379
Anoplophora glabripennis	108903318
Cyphomyrmex costatus	108776835
Agrilus planipennis	108733906
Atta colombica	108693880
Hyalella azteca	108679330
Drosophila navojoa	108659128
Ceratina calcarata	108629103
Drosophila busckii	108602813
Habropoda laboriosa	108571804
Nicrophorus vespilloides	108565597
Rhagoletis zephyria	108377921
Vigna angularis	108322131
Daucus carota subsp. sativus	108228065
Drosophila miranda	108154660
Drosophila elegans	108148373
Drosophila elegans	108141052
Drosophila bipectinata	108122041
Drosophila bipectinata	108121013
Drosophila eugracilis	108115142
Drosophila eugracilis	108105616
Drosophila ficusphila	108098529
Drosophila ficusphila	108097853
Drosophila kikkawai	108084296
Drosophila kikkawai	108077701
Drosophila takahashii	108064379
Drosophila takahashii	108058724
Drosophila rhopaloa	108049142
Drosophila rhopaloa	108040290
Drosophila biarmipes	108031990
Drosophila biarmipes	108031719
